"","f_dis","cwm_pc1"
"102",1.44840586548829,-0.260483061671722
"104",1.36888162980035,0.14340795024109
"110",1.26625712574727,0.0628004499435627
"112",1.27802276534255,0.0709338050700589
"114",1.40734769168184,0.00450599476029425
"155",1.45105222613064,-0.00989632628140219
"158",1.39459912866132,-0.0719398755814346
"165",1.37349269920205,-0.0813304007166463
"169",1.38381212964521,-0.0982331227996856
"201",1.18529433423785,-0.0162752305531369
"204",1.39097496014391,-0.208307369500289
"206",1.34034151272817,-0.141658004305912
"211",1.35045573048326,-0.194575839380765
"212",1.39433501412594,-0.169545271481432
"223",1.38323256650577,-0.0501912494781129
"303",1.12045423559337,-0.019100293041196
"310",1.3676045237546,0.132806760669825
"403",1.30693572531862,0.0545197535367834
"412",1.25951489079571,0.0120452173919002
"414",1.28337642287304,0.018533135429158
"506",1.17301748004884,0.204340788026259
"507",1.16966074911869,0.080077557310782
"508",1.17258304329219,0.0916677380985361
"601",1.19327827588042,0.239430594660108
"603",1.11195230267383,0.154136759173763
"701",1.21746501972637,0.105041271754998
"702",1.33606287530043,0.085453396311754
"703",1.23652983088883,0.0681694038698913
"705",1.17389906880602,0.103789958981585
"710",1.16539823300281,0.105523170836231
"802",1.26024239864032,0.0684235045662262
"811",0.812694323003611,-0.0707900857375407
"903",1.21256288780585,0.0644827292098271
"908",1.33292550748975,-0.00466434684202736
"909",1.25247569830796,-0.0599934276629433
"910",1.08868235921823,0.245030794200812
"1001",1.09537869113466,0.208729780928984
"1003",1.13801198231895,-0.0589384784055122
"1101",1.07172578187202,0.0520053233529989
"1113",0.854036227890753,-0.129320245660158
"1204",1.048846974085,-0.13088080439772
"1206",0.974655908642733,-0.0200384688211293
"1212",1.0919514715285,-0.0848272276682773
"1214",1.20966261334406,0.0310213855815951
"1262",0.617535984796468,-0.0474013223419934
"1280",0.994510935509625,0.12550811224862
"1304",0.643848872565684,-0.00388619472475007
"1306",0.68638966618193,-0.0588514001105791
"1308",0.390457205115489,0.119480182886151
"1310",1.13550444742663,-0.0828421512077469
"1312",0.824687992882066,0.0455916386152971
"1316",0.564740445796959,0.165413003729693
